usc,time,del1,del2,del3,stanford
Play-by-Play,,,,,
Stanford vs USC,,,,,
1/22/16 8:00 PM at Los Angeles Calif. (Galen,Center),,,,
,,,,,
1st PERIOD Play-by-Play (Page 1),,,,,
HOME TEAM: USC,TIME,SCORE,M,AR,VISITORS: Stanford
----------------------------------------------,--------,------,---,--,-------------------------------
,0.231944444,,,,TURNOVR by McCall Erica
MISSED LAYUP by Mazyck Aliyah,0.225,,,,BLOCK by McCall Erica
,0.223611111,,,,REBOUND (DEF) by McCall Erica
,0.209722222,19-24,V,5,GOOD! LAYUP by Smith Alanna [PNT]
,0.209722222,,,,ASSIST by Sniezek Marta
MISSED LAYUP by Mazyck Aliyah,0.188888889,,,,REBOUND (DEF) by McCall Erica
,0.182638889,,,,TURNOVR by Samuelson Karlie
TIMEOUT MEDIA,0.182638889,,,,
SUB IN : Taito Khaedin,0.182638889,,,,SUB IN : McPhee Brittany
SUB OUT: Mazyck Aliyah,0.182638889,,,,SUB OUT: Sniezek Marta
MISSED JUMPER by Simon Kristen,0.167361111,,,,
REBOUND (OFF) by Simon Kristen,0.167361111,,,,
GOOD! JUMPER by Taito Khaedin,0.163888889,21-24,V,3,
,0.157638889,,,,TURNOVR by Thompson Lili
STEAL by Jaco Courtney,0.156944444,,,,
GOOD! LAYUP by Jaco Courtney [FB/PNT],0.154861111,23-24,V,1,
REBOUND (DEF) by Lloyd Alexis,0.138888889,,,,MISSED LAYUP by Smith Alanna
TURNOVR by Taito Khaedin,0.118055556,,,,
FOUL by Taito Khaedin (P1T5),0.118055556,,,,
SUB IN : Fagbenle Temi,0.118055556,,,,SUB IN : Sniezek Marta
SUB OUT: Effa Marguerite,0.118055556,,,,SUB OUT: McPhee Brittany
BLOCK by Simon Kristen,0.099305556,,,,MISSED LAYUP by Samuelson Karlie
REBOUND (DEF) by Lloyd Alexis,0.094444444,,,,
TURNOVR by Lloyd Alexis,0.093055556,,,,STEAL by Thompson Lili
,0.090972222,23-26,V,3,GOOD! LAYUP by Thompson Lili [FB/PNT]
MISSED LAYUP by Simon Kristen,0.070833333,,,,REBOUND (DEF) by Smith Alanna
,0.065277778,,,,MISSED LAYUP by Sniezek Marta
,0.065277778,,,,REBOUND (OFF) by (TEAM)
REBOUND (DEF) by Taito Khaedin,0.055555556,,,,MISSED JUMPER by McCall Erica
MISSED JUMPER by Lloyd Alexis,0.04375,,,,REBOUND (DEF) by Samuelson Karlie
,0.030555556,23-28,V,5,GOOD! JUMPER by McCall Erica
,0.030555556,,,,ASSIST by Smith Alanna
,0.01875,,,,FOUL by McCall Erica (P1T6)
,0.01875,,,,TIMEOUT 30sec
GOOD! FT SHOT by Fagbenle Temi,0.01875,24-28,V,4,
MISSED FT SHOT by Fagbenle Temi,0.01875,,,,REBOUND (DEF) by McCall Erica
,,,,,
,,,,,
Stanford,28 USC,24,,,
,,,,,
2nd period-only      InPaint Pts-T/O,2nd-Chc,FastB,rk,Bn,chPts Ties  Leads
Stanford                6       2,0,2,,,6      0     0
USC                     6       8,2,2,,,9      0     0
,,,,,
,,,,,
3rd PERIOD Play-by-Play (Page 1),,,,,
HOME TEAM: USC,TIME,SCORE,M,AR,VISITORS: Stanford
----------------------------------------------,--------,------,---,--,-------------------------------
,0.402083333,,,,MISSED LAYUP by McCall Erica
,0.402083333,,,,REBOUND (OFF) by McCall Erica
REBOUND (DEF) by Fagbenle Temi,0.384722222,,,,MISSED JUMPER by McCall Erica
TURNOVR by Edwards Sadie,0.372916667,,,,
,0.359722222,24-31,V,7,GOOD! 3 PTR by Samuelson Karlie
,0.359722222,,,,ASSIST by Sniezek Marta
MISSED LAYUP by Fagbenle Temi,0.345138889,,,,BLOCK by McCall Erica
,0.34375,,,,REBOUND (DEF) by Johnson Kailee
,0.3375,,,,TURNOVR by Sniezek Marta
STEAL by Mazyck Aliyah,0.336805556,,,,
GOOD! LAYUP by Mazyck Aliyah [FB/PNT],0.336111111,26-31,V,5,
,0.326388889,,,,MISSED LAYUP by Samuelson Karlie
,0.326388889,,,,REBOUND (OFF) by McCall Erica
,0.324305556,26-33,V,7,GOOD! LAYUP by McCall Erica [PNT]
MISSED LAYUP by Edwards Sadie,0.310416667,,,,REBOUND (DEF) by McCall Erica
REBOUND (DEF) by Mazyck Aliyah,0.302777778,,,,MISSED 3 PTR by Thompson Lili
GOOD! 3 PTR by Jaco Courtney [FB],0.297916667,29-33,V,4,
ASSIST by Mazyck Aliyah,0.297916667,,,,
,0.285416667,29-35,V,6,GOOD! JUMPER by McCall Erica
,0.285416667,,,,ASSIST by Johnson Kailee
MISSED LAYUP by Simon Kristen,0.265277778,,,,BLOCK by McCall Erica
,0.261805556,,,,REBOUND (DEF) by Johnson Kailee
,0.260416667,29-37,V,8,GOOD! LAYUP by Samuelson Karlie [FB/PNT]
MISSED LAYUP by Fagbenle Temi,0.244444444,,,,
REBOUND (OFF) by (TEAM),0.244444444,,,,
SUB IN : Effa Marguerite,0.24375,,,,SUB IN : Johnson Kaylee
SUB OUT: Fagbenle Temi,0.24375,,,,SUB IN : Smith Alanna
,0.24375,,,,SUB OUT: McCall Erica
,0.24375,,,,SUB OUT: Johnson Kailee
GOOD! JUMPER by Mazyck Aliyah,0.236805556,31-37,V,6,
FOUL by Effa Marguerite (P1T1),0.229861111,31-38,V,7,GOOD! FT SHOT by Sniezek Marta
REBOUND (DEF) by Edwards Sadie,0.229861111,,,,MISSED FT SHOT by Sniezek Marta
MISSED LAYUP by Edwards Sadie,0.220138889,,,,BLOCK by Smith Alanna
,0.219444444,,,,REBOUND (DEF) by Thompson Lili
,0.217361111,,,,TURNOVR by Sniezek Marta
,0.217361111,,,,SUB IN : McPhee Brittany
,0.217361111,,,,SUB OUT: Thompson Lili
MISSED LAYUP by Simon Kristen,0.202083333,,,,REBOUND (DEF) by Smith Alanna
,0.188194444,31-40,V,9,GOOD! LAYUP by Smith Alanna [PNT]
MISSED LAYUP by Simon Kristen,0.169444444,,,,BLOCK by Johnson Kaylee
,0.168055556,,,,REBOUND (DEF) by Samuelson Karlie
FOUL by Mazyck Aliyah (P1T2),0.163888889,,,,
,0.163888889,,,,TIMEOUT media
SUB IN : Fagbenle Temi,0.163888889,,,,
SUB OUT: Simon Kristen,0.163888889,,,,
,0.156944444,31-43,V,1,2 GOOD! 3 PTR by Samuelson Karlie
,0.156944444,,,,ASSIST by Sniezek Marta
MISSED JUMPER by Jaco Courtney,0.14375,,,,
REBOUND (OFF) by Fagbenle Temi,0.14375,,,,
MISSED FT SHOT by Fagbenle Temi,0.139583333,,,,FOUL by Smith Alanna (P1T1)
REBOUND (OFF) by (DEADBALL),0.139583333,,,,
GOOD! FT SHOT by Fagbenle Temi,0.139583333,32-43,V,1,1
REBOUND (DEF) by Fagbenle Temi,0.125,,,,MISSED LAYUP by Smith Alanna
MISSED LAYUP by Effa Marguerite,0.120833333,,,,BLOCK by Johnson Kaylee
,0.120138889,,,,REBOUND (DEF) by Johnson Kaylee
REBOUND (DEF) by Fagbenle Temi,0.105555556,,,,MISSED 3 PTR by Smith Alanna
MISSED 3 PTR by Mazyck Aliyah,0.086805556,,,,
REBOUND (OFF) by Jaco Courtney,0.086805556,,,,
MISSED JUMPER by Mazyck Aliyah,0.06875,,,,
REBOUND (OFF) by Effa Marguerite,0.06875,,,,
,0.067361111,,,,FOUL by Samuelson Karlie (P2T2)
GOOD! FT SHOT by Fagbenle Temi,0.065277778,33-43,V,1,0 FOUL by Johnson Kaylee (P3T3)
GOOD! FT SHOT by Fagbenle Temi,0.065277778,34-43,V,9,
SUB IN : Simon Kristen,0.065277778,,,,SUB IN : McCall Erica
SUB IN : Lloyd Alexis,0.065277778,,,,SUB IN : Thompson Lili
SUB OUT: Effa Marguerite,0.065277778,,,,SUB OUT: Johnson Kaylee
SUB OUT: Mazyck Aliyah,0.065277778,,,,SUB OUT: McPhee Brittany
BLOCK by Fagbenle Temi,0.050694444,,,,MISSED LAYUP by Smith Alanna
REBOUND (DEF) by Fagbenle Temi,0.049305556,,,,
MISSED JUMPER by Fagbenle Temi,0.041666667,,,,REBOUND (DEF) by Thompson Lili
FOUL by Jaco Courtney (P1T3),0.039583333,,,,
BLOCK by Fagbenle Temi,0.027777778,,,,MISSED LAYUP by Samuelson Karlie
,0.027777778,,,,REBOUND (OFF) by (TEAM)
BLOCK by Fagbenle Temi,0.020833333,,,,MISSED LAYUP by Thompson Lili
REBOUND (DEF) by Lloyd Alexis,0.020138889,,,,
MISSED 3 PTR by Lloyd Alexis,0.000694444,,,,REBOUND (DEF) by McCall Erica
,,,,,
,,,,,
Stanford,43 USC,34,,,
,,,,,
3rd period-only      InPaint Pts-T/O,2nd-Chc,FastB,rk,Bn,chPts Ties  Leads
Stanford                6       3,2,2,,,2      0     0
USC                     2       2,5,5,,,0      0     0
,,,,,
,,,,,
4th PERIOD Play-by-Play (Page 1),,,,,
HOME TEAM: USC,TIME,SCORE,M,AR,VISITORS: Stanford
----------------------------------------------,--------,------,---,--,-------------------------------
SUB IN : Lloyd Alexis,0.416666667,,,,SUB IN : Smith Alanna
SUB OUT: Mazyck Aliyah,0.416666667,,,,SUB OUT: Johnson Kailee
MISSED FT SHOT by Fagbenle Temi,0.400694444,,,,FOUL by Smith Alanna (P2T4)
REBOUND (OFF) by (DEADBALL),0.400694444,,,,
MISSED FT SHOT by Fagbenle Temi,0.400694444,,,,
REBOUND (OFF) by Lloyd Alexis,0.400694444,,,,
,0.400694444,,,,SUB IN : Johnson Kaylee
,0.400694444,,,,SUB OUT: Smith Alanna
MISSED LAYUP by Fagbenle Temi,0.380555556,,,,REBOUND (DEF) by Samuelson Karlie
,0.361111111,,,,TURNOVR by Johnson Kaylee
,0.361111111,,,,FOUL by Johnson Kaylee (P4T5)
,0.361111111,,,,SUB IN : Johnson Kailee
,0.361111111,,,,SUB OUT: Johnson Kaylee
MISSED 3 PTR by Edwards Sadie,0.352083333,,,,REBOUND (DEF) by McCall Erica
,0.33125,34-45,V,1,1 GOOD! LAYUP by Sniezek Marta [PNT]
,0.31875,,,,FOUL by Johnson Kailee (P2T6)
SUB IN : Effa Marguerite,0.31875,,,,
SUB IN : Taito Khaedin,0.31875,,,,
SUB OUT: Lloyd Alexis,0.31875,,,,
SUB OUT: Simon Kristen,0.31875,,,,
MISSED 3 PTR by Taito Khaedin,0.30625,,,,
REBOUND (OFF) by Jaco Courtney,0.30625,,,,
TURNOVR by Jaco Courtney,0.301388889,,,,
,0.300694444,,,,STEAL by McCall Erica
,0.297222222,,,,MISSED JUMPER by McCall Erica
BLOCK by Taito Khaedin,0.296527778,,,,
,0.295833333,,,,REBOUND (OFF) by McCall Erica
GOOD! LAYUP by Effa Marguerite [PNT],0.29375,36-45,V,9,
,0.290972222,,,,MISSED JUMPER by Thompson Lili
,0.290972222,,,,REBOUND (OFF) by McCall Erica
,0.288194444,36-47,V,1,1 GOOD! TIP-IN by McCall Erica [PNT]
ASSIST by Mazyck Aliyah,0.286805556,,,,
,0.282638889,,,,MISSED 3 PTR by Samuelson Karlie
,0.282638889,,,,REBOUND (OFF) by Johnson Kaylee
MISSED LAYUP by Effa Marguerite,0.275694444,,,,
REBOUND (OFF) by Fagbenle Temi,0.275694444,,,,
GOOD! LAYUP by Fagbenle Temi [PNT],0.275,38-47,V,9,
REBOUND (DEF) by Effa Marguerite,0.269444444,,,,MISSED LAYUP by Thompson Lili
MISSED 3 PTR by Jaco Courtney,0.259722222,,,,REBOUND (DEF) by Johnson Kailee
REBOUND (DEF) by Effa Marguerite,0.25,,,,MISSED LAYUP by McCall Erica
,0.240277778,,,,FOUL by Samuelson Karlie (P3T7)
MISSED FT SHOT by Taito Khaedin,0.239583333,,,,
,0.238888889,,,,TIMEOUT 30sec
REBOUND (OFF) by (DEADBALL),0.238888889,,,,
MISSED FT SHOT by Taito Khaedin,0.238888889,,,,REBOUND (DEF) by Johnson Kaylee
